Cell type from Table S2,Tissue from Table S2,Reported # of cells,Observed Coarse Label?,Assigned new label,Remark
Body_wall_muscle,Muscle and mesoderm,1120,Y,Body_wall_muscle,
BWM_head_row_1,Muscle and mesoderm,2384,N,Body_wall_muscle,
BWM_head_row_2,Muscle and mesoderm,2106,N,Body_wall_muscle,
BWM_anterior,Muscle and mesoderm,5191,N,Body_wall_muscle,
BWM_posterior,Muscle and mesoderm,5737,N,Body_wall_muscle,
BWM_far_posterior,Muscle and mesoderm,982,N,Body_wall_muscle,
Coelomocyte,Muscle and mesoderm,787,Y,Coelomocyte,
GLR,Muscle and mesoderm,768,Y,GLR,
hmc_and_homolog,Muscle and mesoderm,122,Y,hmc_and_homolog,
hmc,Muscle and mesoderm,189,Y,hmc_and_homolog,Mapped to hmc_and_homolog despite occuring as its own coarse label
hmc_homolog,Muscle and mesoderm,155,Y,hmc_and_homolog,Mapped to hmc_and_homolog despite occuring as its own coarse label
M_cell,Muscle and mesoderm,315,Y,M_cell,
Intestinal_and_rectal_muscle,Muscle and mesoderm,88,Y,Intestinal_and_rectal_muscle,
mu_int_mu_anal,Muscle and mesoderm,363,N,Intestinal_and_rectal_muscle,
mu_sph,Muscle and mesoderm,117,N,Intestinal_and_rectal_muscle,
Z1_Z4,Muscle and mesoderm,372,Y,Z1_Z4,
g1A_g1P,Pharynx,142,N,Pharyngeal_gland,There is also a late-embryonic g1A_parent subtype assigned the Pharyngeal_gland coarse label
g1A,Pharynx,178,N,Pharyngeal_gland,
g1P,Pharynx,123,N,Pharyngeal_gland,
g2,Pharynx,216,N,Pharyngeal_gland,
Pharyngeal_marginal_cell,Pharynx,179,Y,Pharyngeal_marginal_cell,
mc1,Pharynx,168,N,Pharyngeal_marginal_cell,
mc2,Pharynx,190,N,Pharyngeal_marginal_cell,
mc3,Pharynx,374,N,Pharyngeal_marginal_cell,
Pharyngeal_intestinal_valve,Pharynx,496,Y,Pharyngeal_intestinal_valve,
pm1_pm2,Pharynx,197,N,Pharyngeal_muscle,
pm3_pm4_pm5,Pharynx,1849,N,Pharyngeal_muscle,
pm6,Pharynx,144,N,Pharyngeal_muscle,
pm7,Pharynx,270,N,Pharyngeal_muscle,
pm8,Pharynx,32,N,Pharyngeal_muscle,
Pharyngeal_muscle_incomplete_dissociation,Pharynx,70,N,Pharyngeal_muscle,
