Cluster	scATAC
1	Hematopoietic Stem Cell
2	Early Erythroid Cell
3	Late Erythroid Cell
4	Early Basophil Cell
5	Common Myeloid Progenitor / lymphoid-primed multipotent progenitor
6	Common Lymphoid Progenitor
7	Granulocyte-Monocyte progenitors
8	Granulocyte-Monocyte progenitors / Neutrophil
9	Plasmacytoid Dendritic Cell
10	Classical Dendritic Cell
11	CD14+ Monocyte Cell
12	CD14+ Monocyte Cell
13	Unknown
14	Unknown
15	Common Lymphoid Progenitor
16	Pre B-Cell Progenitor
17	B Cell
18	Plasma Cell
19	CD8+ Naïve Cell
20	CD4+ Naïve Cell
21	CD4+ Naïve Cell
22	CD4+ Memory Cell
23	CD8+ Effector Memory Cell
24	CD8+ Central Memory Cell
25	Natural Killer Cell
26	Unknown
